Brand,Version,vstr1,vstr2,vstr3,vstr4,filebkg,file,lastfile,pgempty,pgfill,btn,txt,bkg
Anycubic,4.0.11,0,1ec94,355e4,21c60,32ff0,32ff4,33014,34788,3478c,36df8,36dfc,36e00
Anycubic,4.1.0,0,1f260,361cc,2253c,33954,33958,33978,35124,35128,37cb8,37cbc,37cc0
Anycubic,4.1.3,0,1ea10,360c0,21d98,33418,3341c,3343c,34bf0,34bf4,37480,37890,37894
Anycubic,4.1.5,0,1eadc,361c4,21e84,33524,33528,33548,34d04,34d08,375ac,379bc,379c0
Anycubic,4.2.1,0,1ef30,36690,222a0,339e8,339ec,33a0c,351c8,351cc,37a78,37e84,37e88
Anycubic,4.2.2,0,1f07c,35fa0,2258c,331f0,331f4,33214,349d0,349d4,37750,37754,37758
Anycubic,4.2.3,0,1f080,353e8,2259c,3320c,33210,33230,349ec,349f0,378fc,37d08,37d0c
Anycubic,4.2.5,0,1f1c8,35780,226bc,335a4,335a8,335c8,34d84,34d88,37c8c,38098,3809c
Anycubic,4.2.10,2648,1360c,1efcc,27668,185e0,185e4,18608,1a7d8,1a7dc,326c0,326c4,326c8
Anycubic,4.2.12,2648,13644,1f060,276b8,1862c,18630,18654,1a824,1a828,32758,3275c,32760
Anycubic,4.2.14,2d40,13ea4,1fe44,287d8,191bc,191c0,191e4,1b42c,1b430,33ae8,33af0,33af4
Anycubic,4.2.15,2d40,13ea4,1fe50,28734,191cc,191d0,191f4,1b43c,1b440,33a40,33a48,33a4c
Anycubic,4.2.17,2d6c,14080,201d8,28a78,194dc,194e0,19504,1b7f4,1b7f8,33fcc,33fd4,33fd8
Anycubic,4.2.18,2d6c,14090,20230,28b18,19510,19514,19538,1b828,1b82c,3414c,34154,34158
Anycubic,4.2.19.3,2d50,1407c,20254,28a8c,194e0,194e4,19508,1b800,1b804,343d4,343dc,343e0
Epax,4.2.13,2648,13644,1f038,27688,18624,18628,1864c,1a820,1a824,32738,32740,32744
Epax,4.2.15,2d40,13e98,1fdc4,2868c,19154,19158,1917c,1b3c4,1b3c8,33998,339a0,339a4
Epax,4.2.16,2d6c,13ec4,1ff88,28878,192e4,192e8,1930c,1b570,1b574,33bec,33bf4,33bf8
Epax,4.2.17,2d6c,13f54,2000c,28888,19344,19348,1936c,1b644,1b648,33db4,33dbc,33dc0
Epax,4.2.18,2d6c,13f58,2004c,28910,1936c,19370,19394,1b66c,1b670,33f1c,33f24,33f28
Orbeat,4.2.12,2648,13638,1efcc,27608,185b4,185b8,185dc,1a7ac,1a7b0,326a8,326ac,326b0
Orbeat,4.2.14,2d40,13e98,1fdb0,28728,19144,19148,1916c,1b3b4,1b3b8,33a38,33a40,33a44
Elegoo,4.2.7,0,1f288,35afc,228b0,33964,33968,33988,350cc,350d0,37fd0,383dc,383e0
Elegoo,4.2.16,2d6c,13ed8,1ff44,287ec,192bc,192c0,192e4,1b548,1b54c,33b44,33b4c,33b50
